Title,Description,Date Original,Date2,Era,Latitude,Longitude,Collection#,Marker,Digital Collection,Website,Reference URL,CONTENTdm number,Image Link,Latitude2,Longitude2,Additional Count,Additional Count Text,Search
27Nez145,Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez145.tif from CD-ROM_F746.V37_1998 (Disc 1),1927,1927,1920-1929,45.727314,-115.999403,8,wht_circle,Idaho Historical Aerial Photographs,http://digital.lib.uidaho.edu/cdm/landingpage/collection/uiiap,http://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1117,1117,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&CISOPTR=1117&action=2&DMSCALE=42.34298&DMWIDTH=600&DMHEIGHT=600&DMX=0&DMY=0&DMTEXT=&DMROTATE=0,CD-ROM F746.V37 1998 (Disc 1),Idaho -- Aerial Photographs,,"To view related images in the database, click here.",27Nez145   Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez145.tif from CD-ROM_F746.V37_1998 (Disc 1) | Idaho Historical Aerial Photographs | 1927
27Nez140,Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez140.tif from CD-ROM_F746.V37_1998 (Disc 1),1927,1927,1920-1929,45.694789,-116.000177,8,wht_circle,Idaho Historical Aerial Photographs,http://digital.lib.uidaho.edu/cdm/landingpage/collection/uiiap,http://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1118,1118,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&CISOPTR=1118&action=2&DMSCALE=42.34298&DMWIDTH=600&DMHEIGHT=600&DMX=0&DMY=0&DMTEXT=&DMROTATE=0,CD-ROM F746.V37 1998 (Disc 1),Idaho -- Aerial Photographs,,"To view related images in the database, click here.",27Nez140   Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez140.tif from CD-ROM_F746.V37_1998 (Disc 1) | Idaho Historical Aerial Photographs | 1927
27Nez150,Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez150.tif from CD-ROM_F746.V37_1998 (Disc 1),1927,1927,1920-1929,45.760257,-116.000573,8,wht_circle,Idaho Historical Aerial Photographs,http://digital.lib.uidaho.edu/cdm/landingpage/collection/uiiap,http://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1119,1119,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&CISOPTR=1119&action=2&DMSCALE=42.34298&DMWIDTH=600&DMHEIGHT=600&DMX=0&DMY=0&DMTEXT=&DMROTATE=0,CD-ROM F746.V37 1998 (Disc 1),Idaho -- Aerial Photographs,,"To view related images in the database, click here.",27Nez150   Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez150.tif from CD-ROM_F746.V37_1998 (Disc 1) | Idaho Historical Aerial Photographs | 1927
27Nez155,Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez155.tif from CD-ROM_F746.V37_1998 (Disc 1),1927,1927,1920-1929,45.792384,-116.005181,8,wht_circle,Idaho Historical Aerial Photographs,http://digital.lib.uidaho.edu/cdm/landingpage/collection/uiiap,http://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1120,1120,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&CISOPTR=1120&action=2&DMSCALE=42.34298&DMWIDTH=600&DMHEIGHT=600&DMX=0&DMY=0&DMTEXT=&DMROTATE=0,CD-ROM F746.V37 1998 (Disc 1),Idaho -- Aerial Photographs,,"To view related images in the database, click here.",27Nez155   Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez155.tif from CD-ROM_F746.V37_1998 (Disc 1) | Idaho Historical Aerial Photographs | 1927
27Nez200,Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez200.tif from CD-ROM_F746.V37_1998 (Disc 1),1927,1927,1920-1929,45.634087,-116.046512,8,wht_circle,Idaho Historical Aerial Photographs,http://digital.lib.uidaho.edu/cdm/landingpage/collection/uiiap,http://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1121,1121,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&CISOPTR=1121&action=2&DMSCALE=42.34298&DMWIDTH=600&DMHEIGHT=600&DMX=0&DMY=0&DMTEXT=&DMROTATE=0,CD-ROM F746.V37 1998 (Disc 1),Idaho -- Aerial Photographs,,"To view related images in the database, click here.",27Nez200   Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez200.tif from CD-ROM_F746.V37_1998 (Disc 1) | Idaho Historical Aerial Photographs | 1927
27Nez205,Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez205.tif from CD-ROM_F746.V37_1998 (Disc 1),1927,1927,1920-1929,45.6561,-116.050118,8,wht_circle,Idaho Historical Aerial Photographs,http://digital.lib.uidaho.edu/cdm/landingpage/collection/uiiap,http://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1122,1122,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&CISOPTR=1122&action=2&DMSCALE=42.34298&DMWIDTH=600&DMHEIGHT=600&DMX=0&DMY=0&DMTEXT=&DMROTATE=0,CD-ROM F746.V37 1998 (Disc 1),Idaho -- Aerial Photographs,,"To view related images in the database, click here.",27Nez205   Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez205.tif from CD-ROM_F746.V37_1998 (Disc 1) | Idaho Historical Aerial Photographs | 1927
27Nez210,Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez210.tif from CD-ROM_F746.V37_1998 (Disc 1),1927,1927,1920-1929,45.67709,-116.051698,8,wht_circle,Idaho Historical Aerial Photographs,http://digital.lib.uidaho.edu/cdm/landingpage/collection/uiiap,http://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1123,1123,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&CISOPTR=1123&action=2&DMSCALE=42.34298&DMWIDTH=600&DMHEIGHT=600&DMX=0&DMY=0&DMTEXT=&DMROTATE=0,CD-ROM F746.V37 1998 (Disc 1),Idaho -- Aerial Photographs,,"To view related images in the database, click here.",27Nez210   Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez210.tif from CD-ROM_F746.V37_1998 (Disc 1) | Idaho Historical Aerial Photographs | 1927
27Nez215,Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez215.tif from CD-ROM_F746.V37_1998 (Disc 1),1927,1927,1920-1929,45.694669,-116.049586,8,wht_circle,Idaho Historical Aerial Photographs,http://digital.lib.uidaho.edu/cdm/landingpage/collection/uiiap,http://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1124,1124,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&CISOPTR=1124&action=2&DMSCALE=42.34298&DMWIDTH=600&DMHEIGHT=600&DMX=0&DMY=0&DMTEXT=&DMROTATE=0,CD-ROM F746.V37 1998 (Disc 1),Idaho -- Aerial Photographs,,"To view related images in the database, click here.",27Nez215   Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez215.tif from CD-ROM_F746.V37_1998 (Disc 1) | Idaho Historical Aerial Photographs | 1927
27Nez220,Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez220.tif from CD-ROM_F746.V37_1998 (Disc 1),1927,1927,1920-1929,45.716351,-116.046277,8,wht_circle,Idaho Historical Aerial Photographs,http://digital.lib.uidaho.edu/cdm/landingpage/collection/uiiap,http://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1125,1125,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&CISOPTR=1125&action=2&DMSCALE=42.34298&DMWIDTH=600&DMHEIGHT=600&DMX=0&DMY=0&DMTEXT=&DMROTATE=0,CD-ROM F746.V37 1998 (Disc 1),Idaho -- Aerial Photographs,,"To view related images in the database, click here.",27Nez220   Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez220.tif from CD-ROM_F746.V37_1998 (Disc 1) | Idaho Historical Aerial Photographs | 1927
27Nez225,Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez225.tif from CD-ROM_F746.V37_1998 (Disc 1),1927,1927,1920-1929,45.736783,-116.045297,8,wht_circle,Idaho Historical Aerial Photographs,http://digital.lib.uidaho.edu/cdm/landingpage/collection/uiiap,http://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1126,1126,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&CISOPTR=1126&action=2&DMSCALE=42.34298&DMWIDTH=600&DMHEIGHT=600&DMX=0&DMY=0&DMTEXT=&DMROTATE=0,CD-ROM F746.V37 1998 (Disc 1),Idaho -- Aerial Photographs,,"To view related images in the database, click here.",27Nez225   Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez225.tif from CD-ROM_F746.V37_1998 (Disc 1) | Idaho Historical Aerial Photographs | 1927
27Nez230,Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez230.tif from CD-ROM_F746.V37_1998 (Disc 1),1927,1927,1920-1929,45.757124,-116.040838,8,wht_circle,Idaho Historical Aerial Photographs,http://digital.lib.uidaho.edu/cdm/landingpage/collection/uiiap,http://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1127,1127,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&CISOPTR=1127&action=2&DMSCALE=42.34298&DMWIDTH=600&DMHEIGHT=600&DMX=0&DMY=0&DMTEXT=&DMROTATE=0,CD-ROM F746.V37 1998 (Disc 1),Idaho -- Aerial Photographs,,"To view related images in the database, click here.",27Nez230   Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez230.tif from CD-ROM_F746.V37_1998 (Disc 1) | Idaho Historical Aerial Photographs | 1927
27Nez235,Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez235.tif from CD-ROM_F746.V37_1998 (Disc 1),1927,1927,1920-1929,45.777714,-116.039446,8,wht_circle,Idaho Historical Aerial Photographs,http://digital.lib.uidaho.edu/cdm/landingpage/collection/uiiap,http://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1128,1128,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&CISOPTR=1128&action=2&DMSCALE=42.34298&DMWIDTH=600&DMHEIGHT=600&DMX=0&DMY=0&DMTEXT=&DMROTATE=0,CD-ROM F746.V37 1998 (Disc 1),Idaho -- Aerial Photographs,,"To view related images in the database, click here.",27Nez235   Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez235.tif from CD-ROM_F746.V37_1998 (Disc 1) | Idaho Historical Aerial Photographs | 1927
27Nez240,Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez240.tif from CD-ROM_F746.V37_1998 (Disc 1),1927,1927,1920-1929,45.644273,-116.068977,8,wht_circle,Idaho Historical Aerial Photographs,http://digital.lib.uidaho.edu/cdm/landingpage/collection/uiiap,http://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1129,1129,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&CISOPTR=1129&action=2&DMSCALE=42.34298&DMWIDTH=600&DMHEIGHT=600&DMX=0&DMY=0&DMTEXT=&DMROTATE=0,CD-ROM F746.V37 1998 (Disc 1),Idaho -- Aerial Photographs,,"To view related images in the database, click here.",27Nez240   Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez240.tif from CD-ROM_F746.V37_1998 (Disc 1) | Idaho Historical Aerial Photographs | 1927
27Nez245,Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez245.tif from CD-ROM_F746.V37_1998 (Disc 1),1927,1927,1920-1929,45.663256,-116.066173,8,wht_circle,Idaho Historical Aerial Photographs,http://digital.lib.uidaho.edu/cdm/landingpage/collection/uiiap,http://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1130,1130,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&CISOPTR=1130&action=2&DMSCALE=42.34298&DMWIDTH=600&DMHEIGHT=600&DMX=0&DMY=0&DMTEXT=&DMROTATE=0,CD-ROM F746.V37 1998 (Disc 1),Idaho -- Aerial Photographs,,"To view related images in the database, click here.",27Nez245   Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez245.tif from CD-ROM_F746.V37_1998 (Disc 1) | Idaho Historical Aerial Photographs | 1927
27Nez250,Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez250.tif from CD-ROM_F746.V37_1998 (Disc 1),1927,1927,1920-1929,45.68332,-116.06368,8,wht_circle,Idaho Historical Aerial Photographs,http://digital.lib.uidaho.edu/cdm/landingpage/collection/uiiap,http://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1131,1131,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&CISOPTR=1131&action=2&DMSCALE=42.34298&DMWIDTH=600&DMHEIGHT=600&DMX=0&DMY=0&DMTEXT=&DMROTATE=0,CD-ROM F746.V37 1998 (Disc 1),Idaho -- Aerial Photographs,,"To view related images in the database, click here.",27Nez250   Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez250.tif from CD-ROM_F746.V37_1998 (Disc 1) | Idaho Historical Aerial Photographs | 1927
27Nez255,Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez255.tif from CD-ROM_F746.V37_1998 (Disc 1),1927,1927,1920-1929,45.702485,-116.058579,8,wht_circle,Idaho Historical Aerial Photographs,http://digital.lib.uidaho.edu/cdm/landingpage/collection/uiiap,http://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1132,1132,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&CISOPTR=1132&action=2&DMSCALE=42.34298&DMWIDTH=600&DMHEIGHT=600&DMX=0&DMY=0&DMTEXT=&DMROTATE=0,CD-ROM F746.V37 1998 (Disc 1),Idaho -- Aerial Photographs,,"To view related images in the database, click here.",27Nez255   Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez255.tif from CD-ROM_F746.V37_1998 (Disc 1) | Idaho Historical Aerial Photographs | 1927
27Nez360,Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez360.tif from CD-ROM_F746.V37_1998 (Disc 1),1927,1927,1920-1929,45.655786,-116.186164,8,wht_circle,Idaho Historical Aerial Photographs,http://digital.lib.uidaho.edu/cdm/landingpage/collection/uiiap,http://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1133,1133,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&CISOPTR=1133&action=2&DMSCALE=42.34298&DMWIDTH=600&DMHEIGHT=600&DMX=0&DMY=0&DMTEXT=&DMROTATE=0,CD-ROM F746.V37 1998 (Disc 1),Idaho -- Aerial Photographs,,"To view related images in the database, click here.",27Nez360   Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez360.tif from CD-ROM_F746.V37_1998 (Disc 1) | Idaho Historical Aerial Photographs | 1927
27Nez365,Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez365.tif from CD-ROM_F746.V37_1998 (Disc 1),1927,1927,1920-1929,45.676579,-116.185437,8,wht_circle,Idaho Historical Aerial Photographs,http://digital.lib.uidaho.edu/cdm/landingpage/collection/uiiap,http://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1134,1134,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&CISOPTR=1134&action=2&DMSCALE=42.34298&DMWIDTH=600&DMHEIGHT=600&DMX=0&DMY=0&DMTEXT=&DMROTATE=0,CD-ROM F746.V37 1998 (Disc 1),Idaho -- Aerial Photographs,,"To view related images in the database, click here.",27Nez365   Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez365.tif from CD-ROM_F746.V37_1998 (Disc 1) | Idaho Historical Aerial Photographs | 1927
27Nez370,Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez370.tif from CD-ROM_F746.V37_1998 (Disc 1),1927,1927,1920-1929,45.69802,-116.182978,8,wht_circle,Idaho Historical Aerial Photographs,http://digital.lib.uidaho.edu/cdm/landingpage/collection/uiiap,http://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1135,1135,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&CISOPTR=1135&action=2&DMSCALE=42.34298&DMWIDTH=600&DMHEIGHT=600&DMX=0&DMY=0&DMTEXT=&DMROTATE=0,CD-ROM F746.V37 1998 (Disc 1),Idaho -- Aerial Photographs,,"To view related images in the database, click here.",27Nez370   Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez370.tif from CD-ROM_F746.V37_1998 (Disc 1) | Idaho Historical Aerial Photographs | 1927
27Nez375,Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez375.tif from CD-ROM_F746.V37_1998 (Disc 2),1927,1927,1920-1929,45.719644,-116.187038,8,wht_circle,Idaho Historical Aerial Photographs,http://digital.lib.uidaho.edu/cdm/landingpage/collection/uiiap,http://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1136,1136,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&CISOPTR=1136&action=2&DMSCALE=42.34298&DMWIDTH=600&DMHEIGHT=600&DMX=0&DMY=0&DMTEXT=&DMROTATE=0,CD-ROM F746.V37 1998 (Disc 2),Idaho -- Aerial Photographs,,"To view related images in the database, click here.",27Nez375   Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez375.tif from CD-ROM_F746.V37_1998 (Disc 2) | Idaho Historical Aerial Photographs | 1927
27Nez380,Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez380.tif from CD-ROM_F746.V37_1998 (Disc 2),1927,1927,1920-1929,45.737773,-116.188704,8,wht_circle,Idaho Historical Aerial Photographs,http://digital.lib.uidaho.edu/cdm/landingpage/collection/uiiap,http://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1137,1137,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&CISOPTR=1137&action=2&DMSCALE=42.34298&DMWIDTH=600&DMHEIGHT=600&DMX=0&DMY=0&DMTEXT=&DMROTATE=0,CD-ROM F746.V37 1998 (Disc 2),Idaho -- Aerial Photographs,,"To view related images in the database, click here.",27Nez380   Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez380.tif from CD-ROM_F746.V37_1998 (Disc 2) | Idaho Historical Aerial Photographs | 1927
27Nez385,Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez385.tif from CD-ROM_F746.V37_1998 (Disc 2),1927,1927,1920-1929,45.76093,-116.192973,8,wht_circle,Idaho Historical Aerial Photographs,http://digital.lib.uidaho.edu/cdm/landingpage/collection/uiiap,http://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1138,1138,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&CISOPTR=1138&action=2&DMSCALE=42.34298&DMWIDTH=600&DMHEIGHT=600&DMX=0&DMY=0&DMTEXT=&DMROTATE=0,CD-ROM F746.V37 1998 (Disc 2),Idaho -- Aerial Photographs,,"To view related images in the database, click here.",27Nez385   Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez385.tif from CD-ROM_F746.V37_1998 (Disc 2) | Idaho Historical Aerial Photographs | 1927
27Nez390,Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez390.tif from CD-ROM_F746.V37_1998 (Disc 2),1927,1927,1920-1929,45.782144,-116.1944,8,wht_circle,Idaho Historical Aerial Photographs,http://digital.lib.uidaho.edu/cdm/landingpage/collection/uiiap,http://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1139,1139,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&CISOPTR=1139&action=2&DMSCALE=42.34298&DMWIDTH=600&DMHEIGHT=600&DMX=0&DMY=0&DMTEXT=&DMROTATE=0,CD-ROM F746.V37 1998 (Disc 2),Idaho -- Aerial Photographs,,"To view related images in the database, click here.",27Nez390   Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 27Nez390.tif from CD-ROM_F746.V37_1998 (Disc 2) | Idaho Historical Aerial Photographs | 1927
