title,creator,date,description,subject,location,source,orig-coll,format,type,orig-id,rights,object-id
History of the 1910 Forest Fires in Idaho and Western Montana,Elers Koch,1942,A history of the 1910 forest fire written in 1942.,fires;; Fires--Idaho;,United States--Idaho--Shoshone County--Wallace,"MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","Bunker Hill Company Records, 1887-1984",application/pdf,Text,Koch1910FireHistory,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.",25
Forest Fire 1910 - Correspondence,Ben E. Bush,1910-08-31,Clearwater Fire Protective Association.  Letter from the office of Ben E. Bush to Mr. Day.,fires;; Manuscript Group 5381; Forest fires--Idaho;; Fires--Idaho;,United States--Idaho--Shoshone County--Wallace,"MG 5381, Jerome Day Legislative papers, 1909-1910, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",MG 5381,image/jpg,Image;StillImage,MG5381-1,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.",28
Forest Fire 1910 - Bunker Hill,Stanley A. Eaton,1910-08-22,"Managers letters, Easton to Bradley.  Letter detailing the Wallace area fire of 1910.  Page 1.",fires;; Bunker Hill Company Records 1887-1984 -- Manuscript Group; Forest fires--Idaho;; Fires--Idaho;,United States--Idaho--Shoshone County--Wallace,"MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","Bunker Hill Company Records, 1887-1984",application/pdf,Text,MG367-10-116c,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.",33
Forest Fire 1910 - Bunker Hill correspondence,Stanley A. Eaton,1910-08-21,"Managers letters, Easton to Bradley.  Telegraph, August 21, 1910",fires;; Bunker Hill Company Records 1887-1984 -- Manuscript Group; Forest fires--Idaho;; Fires--Idaho;,United States--Idaho--Shoshone County--Wallace,"MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","Bunker Hill Company Records, 1887-1984",application/pdf,Text,MG367-10-116a,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.",35
Forest Fire 1910 - Bunker Hill correspondence,Stanley A. Eaton,1910-08-22,"Managers letters, Easton to Bradley.    Telegraph, August 22, 1910.",fires;; Bunker Hill Company Records 1887-1984 -- Manuscript Group; Forest fires--Idaho;; Fires--Idaho;,United States--Idaho--Shoshone County--Wallace,"MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","Bunker Hill Company Records, 1887-1984",application/pdf,Text,MG367-10-116i,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.",37
Forest Fire 1910 - Bunker Hill correspondence,Stanley A. Eaton,1910-08-21,"Managers letters, Easton to Bradley.  Telegraph, August 21, 1910",fires;; Bunker Hill Company Records 1887-1984 -- Manuscript Group; Forest fires--Idaho;; Fires--Idaho;,United States--Idaho--Shoshone County--Wallace,"MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","Bunker Hill Company Records, 1887-1984",application/pdf,Text,MG367-10-116b,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.",39
Forest Fire 1910 - Bunker Hill correspondence,Stanley A. Eaton,1910-08-22,"Managers letters, Easton to Bradley.    Telegraph, August 22, 1910.",fires;; Bunker Hill Company Records 1887-1984 -- Manuscript Group; Forest fires--Idaho;; Fires--Idaho;,United States--Idaho--Shoshone County--Wallace,"MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","Bunker Hill Company Records, 1887-1984",application/pdf,Text,MG367-10-116g,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.",41
Forest Fire 1910 - Bunker Hill correspondence,Stanley A. Eaton,1910-08-22,"Managers letters, Easton to Bradley.    Telegraph, August 22, 1910.",fires;; Bunker Hill Company Records 1887-1984 -- Manuscript Group; Forest fires--Idaho;; Fires--Idaho;,United States--Idaho--Shoshone County--Wallace,"MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","Bunker Hill Company Records, 1887-1984",application/pdf,Text,MG367-10-116h,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.",43
Forest Fire 1910 - Bunker Hill correspondence,Stanley A. Eaton,1910-08-23,"Managers letters, Easton to Bradley.  Telegraph, August 23-24, 1910",fires;; Bunker Hill Company Records 1887-1984 -- Manuscript Group; Forest fires--Idaho;; Fires--Idaho;,United States--Idaho--Shoshone County--Wallace,"MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","Bunker Hill Company Records, 1887-1984",application/pdf,Text,MG367-10-116j,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.",45
Trail crew cutting out burned timber. 1910 Forest fire - copy. Copied for S.A. Woodbury. 1960. Negative,"Barnard Studio (Wallace, Idaho)",1910,Image shows a trail crew cutting out burned timber. 1910 Forest fire,"fires;  groups of people;; Barnard, T. N. (Thomas Nathan)--Photograph collections; Stockbridge, Nellie--Photograph collections; Forest fires--Idaho;; Debris--Idaho;",United States--Idaho--Shoshone County,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Barnard Stockbridge Collection,image/jpg,Image;StillImage,8-27831c,"Digital image copyright 2009, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.",46
