title,creator,date,description,coverage,subject,latitude,longitude,type,format,donor,object-id,repo-id
"La France fire engine at Potlatch Mercantile fire. Potlatch, Idaho.",,1963-01-13,Fire engine is 48 years old.,Potlatch,fire engines,46.92156,-116.898219,Image;StillImage,image/jpg,,824,cities
"Fire at Potlatch Mercantile. Potlatch, Idaho.",,1963-01-13,Mercantile burned to the ground,Potlatch,fires; firefighters; fire equipment; stores,46.92166,-116.898266,Image;StillImage,image/jpg,,825,cities
"Fire at Potlatch Mercantile. Potlatch, Idaho.",,1963-01-13,,Potlatch,fires; firefighters; fire equipment; stores,46.92177,-116.898277,Image;StillImage,image/jpg,,826,cities
"Potlatch Lumber Mill. Potlatch, Idaho.",,1908,From the files of C.J. Brosnan,Potlatch,lumber mills,46.922475,-116.913779,Image;StillImage,image/jpg,,827,cities
"Flood. Potlatch, Idaho.",,1933-12-23,"Potlatch Lumber Company was flooded, including 2 ft. of water in the lunch room",Potlatch,flood; towns,46.917777,-116.895947,Image;StillImage,image/jpg,,829,cities
Dry sheds & remanufacturing sheds [04],,1924,East end remanufacturing shed.,United States--Idaho--Latah County--Potlatch,exteriors; logs; buildings,46.921395,-116.901443,Image;StillImage,image/jpg,Potlatch Corporation,0,plcphotos
Exterior views of buildings [03],,1949,Entrance to plant showing 1949 landscaping.,United States--Idaho--Latah County--Potlatch,exteriors; buildings,46.921475,-116.902575,Image;StillImage,image/jpg,Potlatch Corporation,1,plcphotos
"Potlatch Unit picnic, 1949 [02]",,1949,Four boys wearing P.F.I. tee shirts,United States--Washington--Whitman County--Palouse,boys,46.908807,-117.080837,Image;StillImage,image/jpg,Potlatch Corporation,2,plcphotos
"Potlatch Unit picnic,1949, Sporting events [01]",,1949,Rolling pin throwing contest (for wives only).,United States--Washington--Whitman County--Palouse,women; parks; railroad bridges,46.908807,-117.080837,Image;StillImage,image/jpg,Potlatch Corporation,3,plcphotos
"Memorial Day celebration, 1950 [02]",,1950,Potlatch Idaho,United States--Idaho--Latah County--Potlatch,parks; monuments; soldiers,46.92156,-116.898219,Image;StillImage,image/jpg,Potlatch Corporation,4,plcphotos
"Memorial Day celebration, 1950 [01]",,1950,Potlatch Idaho,United States--Idaho--Latah County--Potlatch,parks; ceremonies,46.92156,-116.898219,Image;StillImage,image/jpg,Potlatch Corporation,5,plcphotos
"Memorial Day celebration, 1950 [03]",,1950,Potlatch Idaho,United States--Idaho--Latah County--Potlatch,spectators; ceremonies,46.92156,-116.898219,Image;StillImage,image/jpg,Potlatch Corporation,6,plcphotos
Individual      employees [05],,1945,Edwin Chambers with Harland Owens.  Both home after 3 1/2 years in Japanese prison camps.  The are survivors of Bataan and Corregidor.,United States--Idaho--Latah County--Potlatch,photographs,46.921511,-116.899011,Image;StillImage,image/jpg,Potlatch Corporation,7,plcphotos
"Memorial Day celebration, 1950 [06]",,1950,Potlatch Idaho,United States--Idaho--Latah County--Potlatch,soldiers; ceremonies,46.92156,-116.898219,Image;StillImage,image/jpg,Potlatch Corporation,8,plcphotos
"Memorial Day celebration, 1950 [05]",,1950,Potlatch Idaho,United States--Idaho--Latah County--Potlatch,soldiers; ceremonies,46.92156,-116.898219,Image;StillImage,image/jpg,Potlatch Corporation,9,plcphotos
"Memorial Day celebration, 1950 [04]",,1950,Potlatch Idaho,United States--Idaho--Latah County--Potlatch,soldiers; ceremonies,46.92156,-116.898219,Image;StillImage,image/jpg,Potlatch Corporation,10,plcphotos
Views of Corliss engine taken during overhaul [01],,1942,General view as overhaul was started.  Note the drop sign to warn that the wheel inching dog is out of place and it is dangerous to start the engine.,United States--Idaho--Latah County--Potlatch,workers; machinery,46.916737,-116.898426,Image;StillImage,image/jpg,Potlatch Corporation,11,plcphotos
Exterior views of buildings [01],,1949,Exterior of Pres-to-log plant.,United States--Idaho--Latah County--Potlatch,exteriors; buildings; gardens,46.921475,-116.902575,Image;StillImage,image/jpg,Potlatch Corporation,12,plcphotos
Views of Corliss engine taken during overhaul [02],,1942,Lee Gale on Corliss engine shaft.  Note size of spokes and bolts in flywheel compared to a six foot man.  He stands on a shaft 22' in diameter.,United States--Idaho--Latah County--Potlatch,workers; machinery,46.916737,-116.898426,Image;StillImage,image/jpg,Potlatch Corporation,13,plcphotos
Views of Corliss engine taken during overhaul [03],,1942,Art Flieger by the Corliss engine crank pin disc.,United States--Idaho--Latah County--Potlatch,workers; machinery,46.916737,-116.898426,Image;StillImage,image/jpg,Potlatch Corporation,14,plcphotos
W.J. Gamble's winter pictures [01],,1939,Man standing beside a large pile of snow,United States--Idaho--Latah County--Potlatch,winter; buildings,46.916679,-116.899437,Image;StillImage,image/jpg,Potlatch Corporation,15,plcphotos
"White Pine King, 1911 [02]",,1911,"Quality logs (top cut) Scale 16,170' cut from the largest know white pine tree by Potlatch Lumber Company, Potlatch, Idaho.",United States--Idaho--Latah County--Potlatch,lumber; railroad cars,47.006476,-116.712484,Image;StillImage,image/jpg,Potlatch Corporation,16,plcphotos
Sawmill overhaul 1942,,1942,During the sawmill overhaul the power plant crew repaired the turbine.,United States--Idaho--Latah County--Potlatch,workers; machinery,46.916737,-116.898426,Image;StillImage,image/jpg,Potlatch Corporation,17,plcphotos
"White Pine King, 1911 [01]",,1911,"The largest white pine tree ever found grew in the woods of Potlatch Forests. Inc.  It was 207' tall, had an average diameter at the stump of 6'9', was 425 years old and scaled 28,900 board feet.",United States--Idaho--Latah County--Potlatch,forests; lumberjacks,47.006476,-116.712484,Image;StillImage,image/jpg,Potlatch Corporation,18,plcphotos
"White Pine King, 1911 [04]",,1911,"Quality logs (top cut) Scale 16,170' cut from the largest know white pine tree by Potlatch Lumber Company, Potlatch, Idaho.",United States--Idaho--Latah County--Potlatch,lumber; railroad cars,47.006476,-116.712484,Image;StillImage,image/jpg,Potlatch Corporation,19,plcphotos
"White Pine King, 1911 [03]",,1911,A truck load of white pine lumber sawn from the White Pine King.,United States--Idaho--Latah County--Potlatch,lumber; workers; railroad cars,47.006476,-116.712484,Image;StillImage,image/jpg,Potlatch Corporation,20,plcphotos
Exterior of Office Building,,1946,Exterior of office building.,United States--Idaho--Latah County--Potlatch,exteriors; buildings; automobiles,46.921325,-116.893263,Image;StillImage,image/jpg,Potlatch Corporation,21,plcphotos
"Washington, Idaho & Montana Mail Co. 'bug' #10",,1920,"A Studebaker passenger car with custom built chassis, used to haul passengers and mail between Palouse and Bovill, 1920?",United States--Idaho--Latah County,mountains; railroad cars; snowplow,46.916386,-116.900083,Image;StillImage,image/jpg,Potlatch Corporation,22,plcphotos
Exterior views of buildings [02],,1949,Two employees bicycling away from plant entrance.,United States--Idaho--Latah County--Potlatch,exteriors; buildings; bicycles; workers,46.921475,-116.902575,Image;StillImage,image/jpg,Potlatch Corporation,23,plcphotos
